| time |reset|ARegister|DRegister|RAM16K[3]|RAM16K[2]|RAM16K[1]|RAM16K[0]|
| 0    |  0  |       0 |       0 |       0 |       0 |       0 |       0 |
| 1    |  0  |       0 |       0 |       0 |      37 |      25 |      10 |
| 2    |  0  |       0 |      10 |       0 |      37 |      25 |      10 |
| 3    |  0  |       1 |      10 |       0 |      37 |      25 |      10 |
| 4    |  0  |       1 |      35 |       0 |      37 |      25 |      10 |
| 5    |  0  |       2 |      35 |       0 |      37 |      25 |      10 |
| 6    |  0  |       2 |      -2 |       0 |      37 |      25 |      10 |
| 7    |  0  |       3 |      -2 |       0 |      37 |      25 |      10 |
| 8    |  0  |       3 |      -2 |      -2 |      37 |      25 |      10 |
| 9    |  0  |       0 |      -2 |      -2 |      37 |      25 |      10 |
