| time |reset|ARegister|DRegister|RAM16K[2]|RAM16K[1]|RAM16K[0]|
| 0    |  0  |       0 |       0 |       0 |       0 |       0 |
| 1    |  0  |       0 |       0 |       0 |      55 |       5 |
| 2    |  0  |       0 |       5 |       0 |      55 |       5 |
| 3    |  0  |       1 |       5 |       0 |      55 |       5 |
| 4    |  0  |       1 |     -50 |       0 |      55 |       5 |
| 5    |  0  |      10 |     -50 |       0 |      55 |       5 |
| 6    |  0  |      10 |     -50 |       0 |      55 |       5 |
| 7    |  0  |       1 |     -50 |       0 |      55 |       5 |
| 8    |  0  |       1 |      55 |       0 |      55 |       5 |
| 9    |  0  |       0 |      55 |       0 |      55 |       5 |
| 10   |  0  |       0 |      50 |       0 |      55 |       5 |
| 11   |  0  |       2 |      50 |       0 |      55 |       5 |
| 12   |  0  |       2 |      50 |      50 |      55 |       5 |
